# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|---:|-------:|------:|-------:|-----:|-----------------:|--------------:|--------------:|---------------:|------:|-------------:|------------:|
|   0|      23|      0|    0.31|  0.31|                 4|             13|             13|               6|     23|            22|         0.96|
|   1|      23|      0|    0.50|  0.46|                 6|             12|             13|               2|     23|            22|         0.96|
|   2|      21|      0|    0.27|  0.27|                 4|             15|             15|               9|     21|            21|         1.00|
|   3|      38|      0|    0.26|  0.24|                 6|             23|             25|              11|     38|            34|         0.89|
|   4|       5|      0|    0.25|  0.25|                 1|              4|              4|               1|      5|             5|         1.00|
|   5|      25|      0|    0.67|  0.59|                10|             15|             17|               2|     25|            23|         0.92|
|   6|      32|      0|    0.04|  0.03|                 1|             24|             31|              27|     32|             2|         0.06|
|   7|      27|      0|    0.38|  0.35|                 6|             16|             17|               5|     27|            25|         0.93|
|   8|      59|      0|    0.53|  0.53|                24|             45|             45|              12|     59|            55|         0.93|
|   9|      29|      0|    0.61|  0.61|                14|             23|             23|               6|     29|            29|         1.00|
|  10|      77|      0|    0.36|  0.34|                17|             47|             50|              21|     77|            67|         0.87|
|  11|      52|      0|    0.03|  0.02|                 1|             34|             51|              47|     52|             6|         0.12|
|  12|      17|      0|    0.50|  0.55|                 6|             12|             11|               3|     17|            15|         0.88|
|  13|      34|      0|    0.65|  0.65|                17|             26|             26|               6|     34|            34|         1.00|
|  14|      12|      0|    0.67|  0.60|                 6|              9|             10|               1|     12|            12|         1.00|
|  15|      25|      0|    0.30|  0.32|                 6|             20|             19|               8|     25|            23|         0.92|
|  16|       3|      0|    0.33|  0.50|                 1|              3|              2|               0|      3|             2|         0.67|
|  17|       6|      0|    0.50|  0.60|                 3|              6|              5|               1|      6|             6|         1.00|
|  18|      23|      0|    0.32|  0.32|                 6|             19|             19|               8|     23|            20|         0.87|
|  19|      23|      0|    0.50|  0.47|                 8|             16|             17|               7|     23|            23|         1.00|
|  20|      40|      0|    0.22|  0.19|                 5|             23|             26|               8|     40|            33|         0.82|
|  21|      18|      0|    0.21|  0.21|                 3|             14|             14|               6|     18|            17|         0.94|
|  22|      38|      0|    0.48|  0.44|                11|             23|             25|               8|     38|            36|         0.95|
|  23|      42|      0|    0.78|  0.70|                21|             27|             30|               2|     42|            40|         0.95|
|  24|      17|      0|    0.50|  0.57|                 4|              8|              7|               1|     17|            17|         1.00|
|  25|      46|      0|    0.45|  0.44|                14|             31|             32|              11|     46|            44|         0.96|
